,team1Name,team1Score,team2Name,team2Score,result,winningOdds_team1,winningOdds_team2
14-Apr,San Diego Padres,2,Washington Nationals,1,San Diego Padres,1.37,3.52
14-May,Oakland Athletics,5,Seattle Mariners,3,Oakland Athletics,2.93,1.49
14-Jun,Colorado Rockies,8,San Francisco Giants,9,San Francisco Giants,2.23,1.82
14-Jul,Chicago Cubs,2,Milwaukee Brewers,5,Milwaukee Brewers,2.36,1.7
14-Aug,Minnesota Twins,0,Texas Rangers,7,Texas Rangers,1.59,2.75
14-Sep,Detroit Tigers,4,Los Angeles Angels,0,Detroit Tigers,2.65,1.57
14-Oct,Tampa Bay Rays,3,Kansas City Royals,2,Tampa Bay Rays,1.59,2.65
14-Nov,Atlanta Braves,4,Houston Astros,5,Houston Astros,1.69,2.47
14-Dec,New York Yankees,4,Toronto Blue Jays,2,New York Yankees,1.9,2.11
14-13,Philadelphia Phillies,9,New York Mets,10,Philadelphia Phillies,1.86,2.16
14-14,Pittsburgh Pirates,5,Cincinnati Reds,9,Cincinnati Reds,1.89,2.06
14-15,Los Angeles Dodgers,7,Miami Marlins,0,Los Angeles Dodgers,1.55,4
14-16,San Diego Padres,2,Washington Nationals,1,San Diego Padres,1.35,3.98
14-17,Arizona Diamondbacks,7,St.Louis Cardinals,16,Arizona Diamondbacks,2.39,1.71
14-18,Colorado Rockies,4,San Francisco Giants,3,Colorado Rockies,2.66,1.74
14-19,Atlanta Braves,5,Houston Astros,4,Atlanta Braves,1.68,2.49
14-20,Oakland Athletics,4,Seattle Mariners,3,Oakland Athletics,2.75,1.57
14-21,Philadelphia Phillies,4,New York Mets,1,Philadelphia Phillies,2.16,1.8
14-22,Minnesota Twins,3,Texas Rangers,4,Texas Rangers,1.61,2.6
14-23,Pittsburgh Pirates,1,Cincinnati Reds,10,Cincinnati Reds,1.83,2.32
14-24,Cleveland Guardians,0,Chicago White Sox,2,Chicago White Sox,2.1,2.62
14-25,Tampa Bay Rays,5,Kansas City Royals,2,Tampa Bay Rays,1.52,2.91
14-26,Baltimore Orioles,3,Boston Red Sox,4,Boston Red Sox,2.24,1.83
14-27,Chicago Cubs,6,Milwaukee Brewers,5,Chicago Cubs,2.15,1.86
14-28,Detroit Tigers,4,Los Angeles Angels,3,Detroit Tigers,2.5,1.66
14-29,New York Yankees,2,Toronto Blue Jays,5,Toronto Blue Jays,1.54,2.74
14-30,Philadelphia Phillies,2,New York Mets,8,New York Mets,2.48,2.4
14-31,Los Angeles Dodgers,2,Miami Marlins,1,Los Angeles Dodgers,1.38,3.54
14-32,Arizona Diamondbacks,1,St.Louis Cardinals,5,St.Louis Cardinals,2.69,1.74
14-33,Oakland Athletics,2,Seattle Mariners,10,Oakland Athletics,2.55,1.75
14-34,San Diego Padres,3,Washington Nationals,6,Washington Nationals,1.3,4.2
14-35,Colorado Rockies,7,San Francisco Giants,4,Colorado Rockies,2.5,1.66
14-36,Minnesota Twins,2,Texas Rangers,1,Minnesota Twins,1.75,2.45
14-37,Atlanta Braves,6,Houston Astros,2,Atlanta Braves,1.83,2.25
14-38,Cleveland Guardians,5,Chicago White Sox,2,Cleveland Guardians,1.75,2.4
14-39,Detroit Tigers,0,Los Angeles Angels,1,Los Angeles Angels,2.37,1.75
14-40,Tampa Bay Rays,2,Kansas City Royals,3,Kansas City Royals,1.55,3
14-41,Baltimore Orioles,15,Boston Red Sox,10,Baltimore Orioles,2,1.97
14-42,New York Yankees,0,Toronto Blue Jays,4,Toronto Blue Jays,2,2.67
14-43,Philadelphia Phillies,2,New York Mets,7,New York Mets,1.87,2.16
14-44,Pittsburgh Pirates,5,Cincinnati Reds,4,Pittsburgh Pirates,2.04,1.96
14-45,Chicago Cubs,8,Milwaukee Brewers,7,Chicago Cubs,2.27,1.78
14-46,San Diego Padres,1,Washington Nationals,3,Washington Nationals,1.28,4.46
14-47,Atlanta Braves,3,New York Mets,2,Atlanta Braves,2.21,1.78
14-48,Tampa Bay Rays,7,Kansas City Royals,1,Tampa Bay Rays,1.56,2.7
14-49,New York Yankees,2,Toronto Blue Jays,9,Toronto Blue Jays,1.76,2.46
14-50,Pittsburgh Pirates,8,Boston Red Sox,2,Pittsburgh Pirates,2.37,1.72
13-Jan,Washington Nationals,3,Cincinnati Reds,7,Cincinnati Reds,1.8,2.39
13-Feb,Miami Marlins,6,Los Angeles Dodgers,10,Miami Marlins,3.52,1.57
13-Mar,Oakland Athletics,4,New York Yankees,13,Oakland Athletics,2.93,1.49
13-Apr,Houston Astros,6,Minnesota Twins,3,Houston Astros,1.65,2.46
13-May,Boston Red Sox,5,Toronto Blue Jays,6,Toronto Blue Jays,2.6,1.59
13-Jun,New York Mets,3,Colorado Rockies,1,New York Mets,1.28,4.92
13-Jul,Baltimore Orioles,4,Chicago White Sox,3,Baltimore Orioles,2.14,1.92
13-Aug,Philadelphia Phillies,4,Cincinnati Reds,0,Philadelphia Phillies,1.3,4.32
13-Sep,Seattle Mariners,3,Cleveland Guardians,1,Seattle Mariners,2.17,1.91
13-Oct,Chicago Cubs,3,St.Louis Cardinals,8,St.Louis Cardinals,1.96,2.08
13-Nov,Tampa Bay Rays,8,Los Angeles Angels,3,Tampa Bay Rays,1.51,2.87
13-Dec,Los Angeles Dodgers,12,Milwaukee Brewers,6,Milwaukee Brewers,1.4,3.46
13-13,Houston Astros,5,Minnesota Twins,3,Houston Astros,1.52,3.1
13-14,Kansas City Royals,5,Arizona Diamondbacks,3,Kansas City Royals,2.11,1.85
13-15,Chicago Cubs,7,St.Louis Cardinals,1,Chicago Cubs,2.75,1.76
13-16,Boston Red Sox,2,Toronto Blue Jays,3,Toronto Blue Jays,2.45,1.68
13-17,Tampa Bay Rays,4,Los Angeles Angels,3,Tampa Bay Rays,1.54,3.4
13-18,Baltimore Orioles,3,Chicago White Sox,5,Chicago White Sox,2.03,1.95
13-19,Philadelphia Phillies,7,Cincinnati Reds,5,Philadelphia Phillies,1.42,3.55
13-20,San Diego Padres,0,Cleveland Guardians,7,Cleveland Guardians,1.64,2.63
13-21,Seattle Mariners,1,Washington Nationals,3,Washington Nationals,1.35,3.98
13-22,Oakland Athletics,3,Miami Marlins,2,Oakland Athletics,2.12,1.86
13-23,Colorado Rockies,4,Texas Rangers,16,Colorado Rockies,2.2,1.83
13-24,Detroit Tigers,6,San Francisco Giants,1,Detroit Tigers,2.42,1.68
13-25,Pittsburgh Pirates,2,Atlanta Braves,14,Pittsburgh Pirates,3.4,1.44
13-26,Los Angeles Dodgers,10,Milwaukee Brewers,1,Los Angeles Dodgers,1.69,2.45
13-27,Seattle Mariners,4,Washington Nationals,2,Seattle Mariners,1.39,3.7
13-28,Oakland Athletics,3,Miami Marlins,5,Miami Marlins,2.33,1.83
13-29,San Diego Padres,1,Cleveland Guardians,3,Cleveland Guardians,1.72,2.4
13-30,Colorado Rockies,7,Texas Rangers,6,Colorado Rockies,2.05,2
13-31,Houston Astros,4,Minnesota Twins,2,Houston Astros,1.42,3.7
13-32,Kansas City Royals,3,Arizona Diamondbacks,7,Arizona Diamondbacks,2.11,1.87
13-33,Chicago Cubs,3,St.Louis Cardinals,13,Chicago Cubs,2.19,1.76
13-34,Boston Red Sox,3,Toronto Blue Jays,9,Toronto Blue Jays,2.35,1.76
13-35,Detroit Tigers,1,San Francisco Giants,3,San Francisco Giants,2.98,1.6
13-36,Tampa Bay Rays,11,Los Angeles Angels,1,Tampa Bay Rays,1.61,3.15
13-37,Baltimore Orioles,5,Chicago White Sox,3,Baltimore Orioles,2.22,1.8
13-38,New York Yankees,4,New York Mets,2,New York Yankees,1.83,2.22
13-39,Philadelphia Phillies,7,Cincinnati Reds,6,Philadelphia Phillies,1.51,2.91
13-40,Pittsburgh Pirates,1,Atlanta Braves,6,Atlanta Braves,3.4,1.42
13-41,Chicago Cubs,2,St.Louis Cardinals,0,Chicago Cubs,2.69,1.81
13-42,Los Angeles Dodgers,0,Milwaukee Brewers,4,Milwaukee Brewers,1.68,3.4
13-43,Oakland Athletics,0,Miami Marlins,3,Miami Marlins,2.34,1.75
13-44,Chicago Cubs,0,St.Louis Cardinals,1,St.Louis Cardinals,2.5,1.63
13-45,Minnesota Twins,1,Texas Rangers,2,Texas Rangers,1.54,2.81
13-46,Tampa Bay Rays,2,Los Angeles Angels,1,Tampa Bay Rays,1.55,3.07
13-47,New York Yankees,4,New York Mets,2,New York Yankees,2.46,1.66
13-48,Philadelphia Phillies,4,Cincinnati Reds,1,Philadelphia Phillies,1.46,3.17
13-49,Pittsburgh Pirates,1,Atlanta Braves,2,Atlanta Braves,3.25,1.53
13-50,Kansas City Royals,6,Chicago White Sox,4,Kansas City Royals,2.4,1.72
01-Dec,Arizona Diamondbacks,13,Philadelphia Phillies,7,Philadelphia Phillies,2.62,1.76
02-Dec,Los Angeles Angels,4,New York Yankees,3,Los Angeles Angels,2.55,1.63
03-Dec,Milwaukee Brewers,7,Pittsburgh Pirates,5,Milwaukee Brewers,1.31,3.98
04-Dec,Minnesota Twins,4,Boston Red Sox,2,Minnesota Twins,1.93,2.15
05-Dec,Toronto Blue Jays,5,Chicago Cubs,4,Toronto Blue Jays,1.43,3.2
06-Dec,Cincinnati Reds,4,St.Louis Cardinals,13,Cincinnati Reds,2.97,1.49
07-Dec,Miami Marlins,2,Los Angeles Dodgers,3,Los Angeles Dodgers,2.52,1.65
08-Dec,St.Louis Cardinals,6,Atlanta Braves,3,St.Louis Cardinals,1.77,2.32
09-Dec,Seattle Mariners,4,Cleveland Guardians,0,Seattle Mariners,1.69,2.4
10-Dec,Oakland Athletics,4,New York Yankees,1,Oakland Athletics,2.85,1.51
11-Dec,Texas Rangers,8,Detroit Tigers,9,Detroit Tigers,1.64,2.52
12-Dec,Chicago White Sox,2,Arizona Diamondbacks,3,Arizona Diamondbacks,1.58,2.74
13-Dec,Houston Astros,3,Baltimore Orioles,1,Houston Astros,1.46,3.1
14-Dec,Kansas City Royals,15,San Diego Padres,7,San Diego Padres,2.75,1.55
15-Dec,Milwaukee Brewers,9,Chicago Cubs,7,Milwaukee Brewers,1.64,2.62
16-Dec,Minnesota Twins,8,San Francisco Giants,3,Minnesota Twins,1.93,2.04
17-Dec,New York Mets,0,Colorado Rockies,1,Colorado Rockies,1.32,4.08
18-Dec,Toronto Blue Jays,3,Los Angeles Angels,8,Los Angeles Angels,1.42,3.5
19-Dec,Boston Red Sox,4,Tampa Bay Rays,12,Boston Red Sox,1.95,2.04
20-Dec,Philadelphia Phillies,0,Pittsburgh Pirates,5,Pittsburgh Pirates,1.43,3.34
21-Dec,Washington Nationals,3,Cincinnati Reds,2,Washington Nationals,2.06,1.91
22-Dec,Miami Marlins,1,Los Angeles Dodgers,8,Los Angeles Dodgers,3.34,1.43
23-Dec,Seattle Mariners,3,Cleveland Guardians,4,Cleveland Guardians,1.66,2.61
24-Dec,Oakland Athletics,3,New York Yankees,2,Oakland Athletics,3.01,1.48
25-Dec,Minnesota Twins,3,San Francisco Giants,2,Minnesota Twins,1.83,2.3
26-Dec,St.Louis Cardinals,6,Atlanta Braves,5,St.Louis Cardinals,1.98,2.02
27-Dec,Chicago White Sox,5,Arizona Diamondbacks,10,Chicago White Sox,1.99,2.55
28-Dec,Houston Astros,1,Baltimore Orioles,3,Baltimore Orioles,1.58,3.15
29-Dec,Kansas City Royals,3,San Diego Padres,4,San Diego Padres,2.93,1.55
30-Dec,Milwaukee Brewers,7,Chicago Cubs,0,Milwaukee Brewers,1.6,2.78
31-Dec,New York Mets,3,Colorado Rockies,0,New York Mets,1.43,3.75
12-32,Texas Rangers,2,Detroit Tigers,11,Texas Rangers,1.89,2.45
12-33,Washington Nationals,2,Cincinnati Reds,6,Cincinnati Reds,2,2.23
12-34,Miami Marlins,2,Los Angeles Dodgers,1,Miami Marlins,3.25,1.56
12-35,Philadelphia Phillies,6,Pittsburgh Pirates,0,Philadelphia Phillies,1.37,3.62
12-36,Boston Red Sox,5,Tampa Bay Rays,1,Boston Red Sox,2.09,1.88
12-37,Toronto Blue Jays,0,Los Angeles Angels,2,Los Angeles Angels,1.72,2.38
12-38,Seattle Mariners,3,Cleveland Guardians,2,Seattle Mariners,2.07,1.91
12-39,Oakland Athletics,2,New York Yankees,3,New York Yankees,3.24,1.42
12-40,St.Louis Cardinals,4,Atlanta Braves,11,St.Louis Cardinals,2.52,1.9
01-Nov,St.Louis Cardinals,8,Chicago Cubs,0,St.Louis Cardinals,1.45,3.2
02-Nov,Chicago White Sox,4,Minnesota Twins,3,Chicago White Sox,2.24,2.2
03-Nov,Atlanta Braves,8,Miami Marlins,1,Atlanta Braves,1.58,2.7
04-Nov,Boston Red Sox,9,Texas Rangers,1,Boston Red Sox,1.56,2.7
05-Nov,Cleveland Guardians,1,Seattle Mariners,6,Seattle Mariners,2.21,1.81
06-Nov,Detroit Tigers,5,Kansas City Royals,4,Detroit Tigers,1.93,2.04
07-Nov,New York Mets,7,Washington Nationals,3,New York Mets,1.38,4.5
08-Nov,Tampa Bay Rays,9,New York Yankees,0,Tampa Bay Rays,1.81,2.22
09-Nov,Baltimore Orioles,5,Oakland Athletics,2,Baltimore Orioles,1.63,2.52
10-Nov,Cincinnati Reds,3,Colorado Rockies,2,Cincinnati Reds,1.85,2.15
11-Nov,Pittsburgh Pirates,0,Toronto Blue Jays,4,Toronto Blue Jays,3.12,1.49
12-Nov,Arizona Diamondbacks,5,Milwaukee Brewers,0,Arizona Diamondbacks,2.21,1.86
13-Nov,Atlanta Braves,3,Colorado Rockies,0,Atlanta Braves,1.26,4.46
14-Nov,Boston Red Sox,9,Texas Rangers,8,Boston Red Sox,1.63,2.65
15-Nov,Cleveland Guardians,0,Baltimore Orioles,3,Baltimore Orioles,1.58,2.63
16-Nov,New York Mets,5,Los Angeles Dodgers,3,New York Mets,2.25,1.8
17-Nov,Washington Nationals,7,Oakland Athletics,5,Washington Nationals,1.94,2.02
18-Nov,Chicago White Sox,7,Kansas City Royals,1,Chicago White Sox,1.57,2.78
19-Nov,Detroit Tigers,0,Seattle Mariners,7,Seattle Mariners,2.39,1.71
20-Nov,Arizona Diamondbacks,2,Philadelphia Phillies,18,Arizona Diamondbacks,2.22,1.77
21-Nov,Los Angeles Angels,3,New York Yankees,2,Los Angeles Angels,2.71,1.55
22-Nov,Chicago White Sox,4,Kansas City Royals,2,Chicago White Sox,1.53,2.93
23-Nov,Minnesota Twins,5,Boston Red Sox,6,Boston Red Sox,1.84,2.13
24-Nov,Atlanta Braves,3,Colorado Rockies,2,Atlanta Braves,1.31,4.25
25-Nov,Detroit Tigers,3,Seattle Mariners,5,Seattle Mariners,2.43,1.68
26-Nov,New York Mets,2,Los Angeles Dodgers,1,New York Mets,2.2,2.48
27-Nov,Toronto Blue Jays,5,Chicago Cubs,7,Chicago Cubs,1.46,3.07
28-Nov,Washington Nationals,5,Oakland Athletics,1,Washington Nationals,1.98,2
29-Nov,Cincinnati Reds,3,St.Louis Cardinals,5,St.Louis Cardinals,3.07,1.46
30-Nov,Miami Marlins,1,Tampa Bay Rays,2,Tampa Bay Rays,2.47,1.65
11-31,Cleveland Guardians,0,Baltimore Orioles,4,Baltimore Orioles,1.61,2.67
11-32,San Francisco Giants,4,San Diego Padres,5,San Diego Padres,2.36,1.75
11-33,Milwaukee Brewers,6,Pittsburgh Pirates,1,Milwaukee Brewers,1.37,3.7
11-34,Texas Rangers,3,Houston Astros,5,Houston Astros,2.25,1.78
11-35,San Francisco Giants,3,San Diego Padres,4,San Diego Padres,2.29,1.81
11-36,Arizona Diamondbacks,12,Philadelphia Phillies,3,Philadelphia Phillies,2.2,1.83
11-37,Los Angeles Angels,4,New York Yankees,7,New York Yankees,2.7,1.65
11-38,Chicago White Sox,7,Kansas City Royals,9,Kansas City Royals,1.79,2.65
11-39,Milwaukee Brewers,2,Pittsburgh Pirates,4,Pittsburgh Pirates,1.62,2.55
11-40,Texas Rangers,2,Houston Astros,4,Houston Astros,2.35,1.74
11-41,Minnesota Twins,10,Boston Red Sox,5,Boston Red Sox,1.8,2.18
11-42,Atlanta Braves,2,Colorado Rockies,3,Colorado Rockies,1.33,4.06
11-43,Detroit Tigers,3,Seattle Mariners,9,Seattle Mariners,2.58,1.62
11-44,New York Mets,3,Los Angeles Dodgers,4,Los Angeles Dodgers,2.24,2.15
11-45,Toronto Blue Jays,5,Chicago Cubs,3,Toronto Blue Jays,1.48,2.97
11-46,Washington Nationals,6,Oakland Athletics,10,Washington Nationals,1.98,2.04
11-47,Cincinnati Reds,5,St.Louis Cardinals,1,Cincinnati Reds,2.9,1.5
11-48,Miami Marlins,2,Tampa Bay Rays,7,Tampa Bay Rays,2.8,1.56
11-49,Cleveland Guardians,5,Baltimore Orioles,1,Cleveland Guardians,1.71,2.45
11-50,San Francisco Giants,5,San Diego Padres,6,San Diego Padres,2.05,2.15
01-Oct,Baltimore Orioles,9,Toronto Blue Jays,6,Baltimore Orioles,2.25,1.99
02-Oct,Philadelphia Phillies,3,Miami Marlins,2,Philadelphia Phillies,1.55,3.07
03-Oct,Tampa Bay Rays,8,Boston Red Sox,4,Tampa Bay Rays,1.75,2.28
04-Oct,Pittsburgh Pirates,8,New York Mets,2,Pittsburgh Pirates,2.93,1.49
05-Oct,Los Angeles Dodgers,4,San Francisco Giants,7,San Francisco Giants,1.45,3.1
06-Oct,Los Angeles Angels,10,Detroit Tigers,0,Los Angeles Angels,1.68,2.71
07-Oct,Kansas City Royals,5,Cleveland Guardians,6,Cleveland Guardians,2.6,1.79
08-Oct,Houston Astros,1,Texas Rangers,0,Houston Astros,1.58,3.2
09-Oct,San Diego Padres,0,Arizona Diamondbacks,5,Arizona Diamondbacks,1.6,3.03
10-Oct,Seattle Mariners,2,Chicago White Sox,3,Chicago White Sox,2.14,2.25
11-Oct,St.Louis Cardinals,0,Washington Nationals,6,Washington Nationals,1.4,3.54
12-Oct,Colorado Rockies,4,Milwaukee Brewers,6,Milwaukee Brewers,2.28,1.79
13-Oct,Tampa Bay Rays,4,Boston Red Sox,3,Tampa Bay Rays,1.95,2
14-Oct,Baltimore Orioles,4,Toronto Blue Jays,8,Toronto Blue Jays,2.32,1.81
15-Oct,Baltimore Orioles,3,Toronto Blue Jays,7,Toronto Blue Jays,2.5,1.77
16-Oct,New York Yankees,5,Minnesota Twins,2,New York Yankees,1.64,2.57
17-Oct,Los Angeles Dodgers,9,San Diego Padres,4,Los Angeles Dodgers,1.66,2.52
18-Oct,Arizona Diamondbacks,5,Milwaukee Brewers,1,Arizona Diamondbacks,1.61,2.57
19-Oct,Los Angeles Angels,1,Houston Astros,9,Houston Astros,2.71,1.59
20-Oct,San Francisco Giants,5,Philadelphia Phillies,3,San Francisco Giants,1.93,2.08
21-Oct,Cincinnati Reds,10,Colorado Rockies,0,Cincinnati Reds,1.97,2.05
22-Oct,Cleveland Guardians,3,Seattle Mariners,6,Seattle Mariners,2.1,1.86
23-Oct,St.Louis Cardinals,2,Chicago Cubs,0,St.Louis Cardinals,1.57,2.74
24-Oct,Chicago White Sox,1,Minnesota Twins,5,Minnesota Twins,1.8,2.25
25-Oct,Detroit Tigers,2,Kansas City Royals,3,Kansas City Royals,1.83,2.16
26-Oct,New York Mets,1,Washington Nationals,7,Washington Nationals,1.37,3.78
27-Oct,Tampa Bay Rays,1,New York Yankees,2,New York Yankees,2.11,1.89
28-Oct,Atlanta Braves,7,Miami Marlins,1,Atlanta Braves,1.41,3.34
29-Oct,Baltimore Orioles,0,Oakland Athletics,5,Oakland Athletics,1.56,2.68
30-Oct,Boston Red Sox,5,Texas Rangers,2,Boston Red Sox,1.91,2.1
31-Oct,Cincinnati Reds,4,Colorado Rockies,8,Colorado Rockies,1.91,2.17
10-32,Pittsburgh Pirates,3,Toronto Blue Jays,4,Toronto Blue Jays,2.88,1.5
10-33,Los Angeles Dodgers,12,San Diego Padres,1,Los Angeles Dodgers,1.46,3.2
10-34,Los Angeles Angels,2,Houston Astros,1,Los Angeles Angels,2.4,2.21
10-35,Arizona Diamondbacks,6,Milwaukee Brewers,8,Milwaukee Brewers,2.7,1.57
10-36,Atlanta Braves,2,Miami Marlins,1,Atlanta Braves,1.61,3.2
10-37,Cleveland Guardians,0,Seattle Mariners,4,Seattle Mariners,2.47,1.74
10-38,New York Mets,1,Washington Nationals,7,Washington Nationals,1.31,4.46
10-39,St.Louis Cardinals,8,Chicago Cubs,4,St.Louis Cardinals,1.5,2.94
10-40,Chicago White Sox,13,Minnesota Twins,0,Chicago White Sox,1.8,2.27
01-Sep,New York Yankees,10,Tampa Bay Rays,3,Tampa Bay Rays,1.99,2
02-Sep,Oakland Athletics,3,Chicago White Sox,5,Chicago White Sox,2.6,1.6
03-Sep,San Diego Padres,5,Los Angeles Dodgers,4,San Diego Padres,2.43,1.69
04-Sep,Seattle Mariners,4,Atlanta Braves,6,Atlanta Braves,2.15,1.9
05-Sep,Colorado Rockies,13,Arizona Diamondbacks,10,Colorado Rockies,1.95,2.11
06-Sep,Houston Astros,4,Los Angeles Angels,3,Houston Astros,1.74,2.97
07-Sep,Kansas City Royals,2,Detroit Tigers,10,Kansas City Royals,1.77,2.22
08-Sep,Milwaukee Brewers,2,Cincinnati Reds,8,Cincinnati Reds,1.68,2.7
09-Sep,Minnesota Twins,6,Cleveland Guardians,7,Cleveland Guardians,2.05,2.02
10-Sep,Texas Rangers,3,Toronto Blue Jays,4,Toronto Blue Jays,2.7,1.68
11-Sep,Baltimore Orioles,3,Boston Red Sox,2,Baltimore Orioles,1.85,2.13
12-Sep,New York Yankees,2,Tampa Bay Rays,4,Tampa Bay Rays,2.02,2.04
13-Sep,Philadelphia Phillies,5,Washington Nationals,3,Philadelphia Phillies,1.52,3.1
14-Sep,Miami Marlins,6,New York Mets,3,Miami Marlins,2.46,1.66
15-Sep,Pittsburgh Pirates,8,St.Louis Cardinals,2,Pittsburgh Pirates,2.8,1.56
16-Sep,Chicago Cubs,4,San Francisco Giants,2,Chicago Cubs,2.32,1.71
17-Sep,Oakland Athletics,2,Chicago White Sox,14,Oakland Athletics,2.86,1.64
18-Sep,Milwaukee Brewers,4,San Francisco Giants,2,Milwaukee Brewers,1.56,2.66
19-Sep,New York Yankees,3,Minnesota Twins,4,Minnesota Twins,1.72,2.31
20-Sep,Philadelphia Phillies,5,Miami Marlins,6,Miami Marlins,1.83,2.22
21-Sep,Milwaukee Brewers,2,San Francisco Giants,1,Milwaukee Brewers,1.55,2.81
22-Sep,Chicago Cubs,3,Cincinnati Reds,4,Cincinnati Reds,1.75,2.25
23-Sep,St.Louis Cardinals,6,Washington Nationals,11,St.Louis Cardinals,1.41,3.4
24-Sep,San Diego Padres,6,Arizona Diamondbacks,3,San Diego Padres,1.47,3.15
25-Sep,Houston Astros,4,Texas Rangers,3,Houston Astros,1.36,3.7
26-Sep,Kansas City Royals,2,Cleveland Guardians,1,Kansas City Royals,2.25,1.77
27-Sep,St.Louis Cardinals,6,Washington Nationals,5,St.Louis Cardinals,1.36,3.92
28-Sep,Chicago Cubs,1,Cincinnati Reds,7,Cincinnati Reds,1.71,2.36
29-Sep,Baltimore Orioles,1,Toronto Blue Jays,4,Toronto Blue Jays,2.25,1.75
30-Sep,New York Yankees,7,Minnesota Twins,1,New York Yankees,1.54,2.79
9-31,Philadelphia Phillies,4,Miami Marlins,3,Philadelphia Phillies,1.76,2.5
9-32,Tampa Bay Rays,1,Boston Red Sox,0,Tampa Bay Rays,1.63,2.62
9-33,Pittsburgh Pirates,0,New York Mets,10,New York Mets,4.23,1.27
9-34,Los Angeles Dodgers,7,San Francisco Giants,3,Los Angeles Dodgers,1.46,3.2
9-35,Seattle Mariners,6,Chicago White Sox,9,Chicago White Sox,1.54,2.74
9-36,Los Angeles Angels,4,Detroit Tigers,5,Detroit Tigers,1.52,2.93
9-37,Oakland Athletics,3,Atlanta Braves,7,Atlanta Braves,3.74,1.34
9-38,Colorado Rockies,8,Milwaukee Brewers,4,Colorado Rockies,2.24,1.77
9-39,New York Yankees,5,Minnesota Twins,4,New York Yankees,1.72,2.95
9-40,Pittsburgh Pirates,1,New York Mets,5,New York Mets,2.92,1.5
9-41,Los Angeles Dodgers,6,San Francisco Giants,3,Los Angeles Dodgers,1.41,3.73
9-42,Oakland Athletics,9,Atlanta Braves,10,Oakland Athletics,3.2,1.46
9-43,San Diego Padres,6,Arizona Diamondbacks,5,San Diego Padres,1.69,2.75
9-44,Seattle Mariners,3,Chicago White Sox,0,Seattle Mariners,1.7,2.39
9-45,Los Angeles Angels,5,Detroit Tigers,4,Los Angeles Angels,1.79,2.75
9-46,Colorado Rockies,10,Milwaukee Brewers,7,Milwaukee Brewers,2.72,1.71
9-47,Houston Astros,3,Texas Rangers,4,Texas Rangers,1.46,3.2
9-48,Kansas City Royals,1,Cleveland Guardians,4,Cleveland Guardians,2.8,1.53
9-49,St.Louis Cardinals,4,Washington Nationals,1,St.Louis Cardinals,1.42,3.5
9-50,Chicago Cubs,9,Cincinnati Reds,3,Chicago Cubs,1.67,2.46
01-Aug,St.Louis Cardinals,4,Milwaukee Brewers,8,Milwaukee Brewers,2,2.78
02-Aug,Minnesota Twins,6,Kansas City Royals,3,Minnesota Twins,1.58,2.7
03-Aug,Boston Red Sox,6,New York Yankees,7,New York Yankees,2.43,1.76
04-Aug,New York Mets,1,Chicago Cubs,4,Chicago Cubs,1.25,5.15
05-Aug,Toronto Blue Jays,7,Tampa Bay Rays,2,Toronto Blue Jays,1.6,2.52
06-Aug,Washington Nationals,3,Baltimore Orioles,4,Baltimore Orioles,2.45,1.71
07-Aug,Cincinnati Reds,0,Pittsburgh Pirates,1,Pittsburgh Pirates,1.78,2.22
08-Aug,Detroit Tigers,3,Houston Astros,6,Houston Astros,3.2,1.46
09-Aug,Miami Marlins,1,Philadelphia Phillies,2,Philadelphia Phillies,2.15,2.14
10-Aug,Cleveland Guardians,3,Los Angeles Angels,1,Cleveland Guardians,1.83,2.16
11-Aug,Toronto Blue Jays,2,Tampa Bay Rays,4,Tampa Bay Rays,1.93,2.03
12-Aug,Cincinnati Reds,1,Pittsburgh Pirates,6,Pittsburgh Pirates,1.75,2.25
13-Aug,San Francisco Giants,3,Atlanta Braves,2,San Francisco Giants,2.77,1.64
14-Aug,Arizona Diamondbacks,0,Los Angeles Dodgers,6,Los Angeles Dodgers,2.92,1.5
15-Aug,Miami Marlins,10,Texas Rangers,6,Texas Rangers,2.09,1.85
16-Aug,New York Mets,2,Chicago Cubs,5,Chicago Cubs,1.35,4.2
17-Aug,Toronto Blue Jays,3,Tampa Bay Rays,2,Toronto Blue Jays,1.63,2.5
18-Aug,Cincinnati Reds,3,Pittsburgh Pirates,6,Pittsburgh Pirates,1.79,2.18
19-Aug,Detroit Tigers,0,Houston Astros,7,Houston Astros,3.1,1.46
20-Aug,Cleveland Guardians,5,Los Angeles Angels,4,Cleveland Guardians,1.91,2.25
21-Aug,Miami Marlins,2,Texas Rangers,3,Texas Rangers,2.07,2.12
22-Aug,Chicago Cubs,2,San Francisco Giants,4,San Francisco Giants,1.91,2.06
23-Aug,San Diego Padres,2,Los Angeles Dodgers,11,San Diego Padres,2.18,1.85
24-Aug,Seattle Mariners,8,Atlanta Braves,7,Seattle Mariners,2.18,1.84
25-Aug,Oakland Athletics,10,Chicago White Sox,3,Chicago White Sox,2.5,1.65
26-Aug,Colorado Rockies,6,Arizona Diamondbacks,12,Colorado Rockies,2.47,1.64
27-Aug,Texas Rangers,4,Toronto Blue Jays,1,Texas Rangers,2.05,1.9
28-Aug,Houston Astros,12,Los Angeles Angels,4,Los Angeles Angels,1.37,3.46
29-Aug,Kansas City Royals,4,Detroit Tigers,0,Kansas City Royals,1.67,2.47
30-Aug,Milwaukee Brewers,7,Cincinnati Reds,6,Milwaukee Brewers,1.37,3.54
